FOOD_ID,RESTAURANT_ID,FOOD_TYPE,FOOD_NAME,PRICE,INVENTORY
1,1,荤菜,辣椒炒肉,42,82
2,1,荤菜,小炒黄牛肉,68,87
3,1,荤菜,剁椒鱼头,96,92
4,1,荤菜,口味鸡,88,54
5,1,荤菜,烟笋炒腊肉,48,44
6,1,素菜,有机花菜,36,70
7,1,素菜,煎茄子,32,51
8,1,素菜,玉米淮山,38,79
9,1,汤,茶树菇土鸡汤,56,106
10,1,汤,筒骨煨湖藕,52,64
11,2,荤菜,葱香烤鸡,35,94
12,2,荤菜,酱爆石锅蛙,58,91
13,2,荤菜,卤制烤鸭,45,49
14,2,荤菜,粉丝裹虾,49,101
15,2,荤菜,盐菜扣肉,38,74
16,2,荤菜,鲜花椒鲈鱼,56,92
17,2,素菜,香锅卷心菜,25,104
18,2,素菜,油淋菜心,18,110
19,2,素菜,香锅花菜,28,75
20,2,汤,石锅鸡汤豆腐,32,64
21,3,荤菜,果木烤鸭,158,42
22,3,荤菜,糖醋里脊,33,101
23,3,荤菜,叫花鸡,48,48
24,3,荤菜,毛血旺,49,110
25,3,荤菜,香锅牛杂,69,92
26,3,素菜,粉丝包菜,27,92
27,3,素菜,香锅土豆片,27,66
28,3,素菜,腐竹鸡毛菜,28,69
29,3,汤,鸭汤,23,92
30,3,汤,鸽子汤,20,60
31,4,主菜,摩登大盘鸡,118,45
32,4,主菜,八柯招牌焖烤羊排,129,49
33,4,主菜,铁板孜然牛肉,62,55
34,4,主菜,草原菇焖大虾,69,81
35,4,凉菜,乌市巷子凉皮,29,91
36,4,凉菜,巴依老爷大拌菜,38,50
37,4,时蔬,包包菜炒馕,28,88
38,4,时蔬,炝炒鸡毛菜,32,63
39,4,小食,纳瓦羊肉水饺,36,99
40,4,汤品,伊犁羊杂汤,58,55
41,5,主菜,茉莉茶香基围虾,82,93
42,5,主菜,草堂文火东坡鸡,105,119
43,5,主菜,兰亭果木烤鸭,98,55
44,5,主菜,火腿淡菜焗黄鱼,105,88
45,5,主菜,小炒黄牛肉,82,41
46,5,主菜,鉴湖什锦全家福,77,73
47,5,小食,灌汤小笼包,26,58
48,5,小食,松子山药泥,19,50
49,5,小食,小米桂花糕,42,113
50,5,饮品,香蕉牛奶,58,55
